ChangeType,branch_code,FieldName,OldValue,NewValue
Added,05638,,,"{""name"": ""SELAQUI"", ""branch_code"": ""05638"", ""address"": {""line1"": ""H NO: 208"", ""line2"": ""HARIPUR MARG, NEAR OLD WATER TANK"", ""line3"": ""SELAQUI"", ""city"": ""SELAQUI"", ""pincode"": ""248197""}, ""email"": """", ""c"
Added,05634,,,"{""name"": ""NANDASAN"", ""branch_code"": ""05634"", ""address"": {""line1"": ""H NO: 4, PATDI"", ""line2"": ""NEAR AUTO STAND, UMANAGAR"", ""line3"": ""TAL: KADI"", ""city"": ""NANDASAN"", ""pincode"": ""382705""}, ""email"": """", """
Added,05637,,,"{""name"": ""SAHIYA"", ""branch_code"": ""05637"", ""address"": {""line1"": ""H NO: 225"", ""line2"": ""SAMALTA ROAD"", ""line3"": ""TAL: KALSI"", ""city"": ""SAHIYA"", ""pincode"": ""248196""}, ""email"": """", ""contact"": """", ""countr"
Added,05639,,,"{""name"": ""MADHAPUR"", ""branch_code"": ""05639"", ""address"": {""line1"": ""H NO: 1307"", ""line2"": ""FOREST REST HOUSE ROAD"", ""line3"": ""TAL: ATHMALLICK"", ""city"": ""MADHAPUR"", ""pincode"": ""759125""}, ""email"": """", ""c"
Added,05635,,,"{""name"": ""SONIPAT LAKE GROVE"", ""branch_code"": ""05635"", ""address"": {""line1"": ""SUKH SHANTI BHAWAN, 1ST FLOOR, FLAT NO: 90,"", ""line2"": ""NEAR PATLA ROAD, SUNRISE SHOOL"", ""line3"": ""SECTOR-64, LAKE GROVE, T"
Added,05636,,,"{""name"": ""NEW DELHI RANAJI ENCLAVE"", ""branch_code"": ""05636"", ""address"": {""line1"": ""H NO: 503, SADBHAWANA BHAWAN"", ""line2"": ""NEAR VRIDA ASHRAM, RANAJI ENCLAVE"", ""line3"": ""M.S. BLOCK TIRANG CHOWK, NANGL"
Deleted,03025,,"{""address"": {""city"": ""RAMPUR COLLIERY"", ""line1"": ""Q.NO: 45/4, V.S.S.NAGAR"", ""line2"": ""PO: R.KUDAPALI"", ""line3"": ""VIA: BRAJRAJ NAGAR"", ""pincode"": ""768225""}, ""branch_code"": ""03025"", ""contact"": """", ""coor",
Modified,00083,mobile,9654210684,"9654210684, 7415853000"
Modified,00083,address.line2,"G-1/106, UTTAM NAGAR","G-1/106, UTTAM NAGAR, JEEVAN BLOCK NIRHKARI ROAD"
Modified,00083,email,,uttamnagar.del@bkivv.org
Modified,02539,address.line1,KHASARA NO: 138,"""ANUBHUTI DHAM"" KHASARA NO: 138"
Modified,02539,email,,khatauli@bkivv.org
Modified,03585,address.line2,"GALLI NO 12, NEAR SHIV MANDIR","GALLI NO 12, NEAR RACHNA SCHOOL"
Modified,03585,address.line3,"NEAR RACHNA SCHOOL, JAIN NAGAR ",JAIN NAGAR
Modified,05147,mobile,"7014985787, 8285518003","7014985787, 8285518003, 8700609747"
Modified,05147,address.line1,"HOUSE NO-5/56, DIVYA DHAMA","HOUSE NO: 5/56, VISHWA KALYANI BHAWAN"
Modified,05147,address.line2,"E BLOCK, B.P.T.P PLOTS","E BLOCK, B.P.T.P PLOTS, BUILDER FLOOR, JATT CHOWK ROAD"
Modified,00203,address.line1,LOTUS HOUSE' RANMUKTESHWAR MANDIR ROAD,"H NO: 3/1, LOTUS HOUSE' RANMUKTESHWAR MANDIR ROAD"
Modified,03185,address.line2,OPP: CHAMUNDA MATA TEMPLE,"OPP: CHAMUNDA MATA TEMPLE, GANDHINAGAR GIFT CITY ROAD"
Modified,03708,address.line2,"NEAR TAGOR PARK ROUNDABOUT, TAGOR PARK",NEAR TAGOR PARK ROUNDABOUT
Modified,00952,mobile,"9868245289, 9911225289","9911225289, 9599540855"
Modified,03251,mobile,9596718740,"9596718740, 9149811901"
Modified,03251,address.line1,HOUSE OF VIJAY KOTWAL IAS,BRAHMA KUMARIS GLOBAL PEACE CENTRE
Modified,03251,address.line2,MAIN ROAD,"MAIN ROAD, NEAR GIRLS HIGH SCHOOL"
