ChangeType,branch_code,FieldName,OldValue,NewValue
Modified,00109,mobile,"9416236152,8813944242",8447579098
Modified,05352,coords,"['30.7047880000', '76.7567330000']","['30.7020840000', '76.7574680000']"
Modified,05352,contact,0172-2623385,
Modified,05352,mobile,"9216021894, 9417421894","9216021894, 7814577167"
Modified,05352,address.line1,"H NO: 2321/1, GYAN DHARA","H NO: 2131, GYAN DHARA"
Modified,05352,address.line2,NEAR SHREE SANATAN DHAM TEMPLE,NEAR GOVERNMENT HOSPITAL
Modified,01942,email,,kalimela@bkivv.org
Modified,01942,mobile,8763081836,"8763081836, 8114915007"
Modified,90001,region,INDIA,MADHUBAN SISTER CONCERNS
Modified,04147,name,NAMLI,NAMLI (RATLAM)
Modified,03116,name,POIP,POIP (SINDHUDURG)
Modified,02368,email,,bhalka.vrl@bkivv.org
Modified,02368,contact,-,
Modified,02368,mobile,9825922497,9328503489
Modified,02368,address.line1,OPP.GRAM PANCHAYAT OFFICE,OPP. GRAM PANCHAYAT OFFICE
Modified,05567,mobile,8393088449,7037111222
Modified,03838,name,DOBHI,DOBHI (TENDUKHEDA)
Modified,04332,name,RASOL,RASOL (DHENKANAL)
Modified,02044,address.line1,PLOT NO: 168/3701,"PLOT NO: 168/3701, PRABHU UPHAR BHAWAN"
Modified,04718,coords,"['22.2143114000', '79.7356661000']","['22.2162500000', '79.7383030000']"
Modified,04718,mobile,"8103653563, 9753785250","9753785250, 8103653563"
Modified,04718,address.line3,,KANHIWADA
Modified,04718,address.line1,H NO: 408,NEAR KANYA SHALA
Modified,04718,address.line2,BIHAR MOHALLA ROAD,BALAJI NAGAR
Modified,05107,coords,"['23.8397470000', '91.2681800000']","['23.8401800000', '91.2646800000']"
Modified,05107,mobile,"8837349893, 7002919348",8837349893
Modified,05107,address.line1,"H.NO: 1611268, SHANTI KUNJ",SHANTI KUNJ
Modified,05107,address.line2,RAMNAGAR ROAD NO:5,"RAMNAGAR ROAD NO:5, AFTER 4TH CROSSING"
Modified,00977,contact,05661- 681777,
Modified,00977,mobile,"9758213697, 8445785155","9758213697, 7017752950"
Modified,02935,name,KERUR,KERUR (BAGALKOT)
Modified,02935,coords,"['16.0118253000', '75.5510787000']","['16.0062900000', '75.5395750000']"
Modified,02935,mobile,"9035121602, 9950716670",9148115968
Modified,02935,address.line1,CHINAGUNDI PLOT,"H.NO: 27, H/O PRASHURAM LAKMAPUR"
Modified,02935,address.line2,NEAR MALLAPPA OIL MILL,"NANDARGI PLOT, HUBBALLI ROAD"
Modified,03541,coords,"['19.2191733334', '83.7626383334']","['19.2195350000', '83.7640840000']"
Modified,03541,address.line3,"U.G.BANK ROAD, GOPALPUR, TAL: RAMANAGUDA",GUMUDA
Modified,03541,address.line1,H.NO: 131/145,SHIV ARADHANA BHAWAN
Modified,03541,address.line2,"NEAR V.P. SCHOOL, SIBARAMPUR",OM SHANTI COLONY
Modified,05140,name,BHOMA,BHOMA (SEONI)
Modified,05140,coords,"['22.1683090000', '79.6904610000']","['22.1697180000', '79.6937390000']"
Modified,05140,mobile,"9424680861, 6266813262","6266813262, 7566447028"
Modified,05140,address.line3,OPP: BANK OF MAHARASHTRA,BHOMA
Modified,05140,address.line1,H NO: 308,BRAHMA KUMARIS
Modified,05140,address.line2,MAIN ROAD,"MANDLA ROAD, OPP ARMY PETROL PUMP"
Modified,04341,section,00029,03798
