ChangeType,branch_code,FieldName,OldValue,NewValue
Added,05679,,,"{""name"": ""PYDETI"", ""branch_code"": ""05679"", ""address"": {""line1"": ""H.NO.-2/56/1, GYAN AMRUTHA BHAVAN "", ""line2"": ""NEAR HIGH SCHOOL"", ""line3"": """", ""city"": ""PYDETI"", ""pincode"": ""515261""}, ""email"": """", ""co"
Added,05686,,,"{""name"": ""BENGALURU KACHANAYAKANAHALLI"", ""branch_code"": ""05686"", ""address"": {""line1"": ""H NO: 66, PANDAV BHAWAN, GROUND FLOOR"", ""line2"": ""GRAND ICON LAYOUT"", ""line3"": ""KACHANAYAKANAHALLI, TAL: ANEKAL"","
Added,01703,,,"{""name"": ""DUVVUR"", ""branch_code"": ""01703"", ""address"": {""line1"": ""GYAN YOGA BHAWAN"", ""line2"": ""MADDEPALEM STREET"", ""line3"": """", ""city"": ""DUVVUR"", ""pincode"": ""516175""}, ""email"": """", ""contact"": """", ""coun"
Added,05680,,,"{""name"": ""BADAGAON (TIKAM GARH)"", ""branch_code"": ""05680"", ""address"": {""line1"": ""H.NO: 125, ABOVE POST OFFICE"", ""line2"": ""BAGAJ MOHALLA, NAGAR PANCHAYAT ROAD"", ""line3"": ""W.NO:13, TAL: TIKAM GARH"", ""cit"
Added,05681,,,"{""name"": ""GORIWALA"", ""branch_code"": ""05681"", ""address"": {""line1"": ""H.NO: 349, OM SHANTI BHAWAN"", ""line2"": ""NEAR SARASWATI SCHOOL, MAIN ROAD"", ""line3"": ""WARD NO: 4"", ""city"": ""GORIWALA"", ""pincode"": ""125"
Added,05676,,,"{""name"": ""HYDERABAD KOKAPET"", ""branch_code"": ""05676"", ""address"": {""line1"": ""H NO: 7-62/B/18, TOWER OF PEACE"", ""line2"": ""BEHIND WMPOW, NEAR 7 HILLS APARTMENT"", ""line3"": ""TAL: RANGAREDDY"", ""city"": ""HYDE"
Added,05683,,,"{""name"": ""TRIKKANNAD"", ""branch_code"": ""05683"", ""address"": {""line1"": ""PARUSHOTHAMA"", ""line2"": ""NEAR TRAYAMBHAKESHWARA TEMPLE"", ""line3"": ""TAL: KANHANGOD"", ""city"": ""TRIKKANNAD"", ""pincode"": ""671318""}, ""em"
Added,05685,,,"{""name"": ""BENGALURU JALAHALLI VILLAGE"", ""branch_code"": ""05685"", ""address"": {""line1"": ""H NO: 37, SRI VISHNU NILAYA, IST FLOOR"", ""line2"": ""8TH CROSS, BEHIND RAGHAVENDRA SWAMY MUT"", ""line3"": ""SHARADAMBA "
Added,05684,,,"{""name"": ""HOLAGUNDA"", ""branch_code"": ""05684"", ""address"": {""line1"": ""H NO: 6/121"", ""line2"": ""NEAR AMARPPAN ZIN"", ""line3"": ""TAL: ALUR"", ""city"": ""HOLAGUNDA"", ""pincode"": ""518346""}, ""email"": """", ""contact"":"
Added,05687,,,"{""name"": ""KOTBA TAPKARA ROAD"", ""branch_code"": ""05687"", ""address"": {""line1"": ""KHASRA NO: 984/12"", ""line2"": ""C.M.P.COLONY,  TAPKARA ROAD"", ""line3"": ""HIGH SCHOOL PARA, TAL: PATHALGAON"", ""city"": ""KOTBA"", "
Added,05682,,,"{""name"": ""MALIHABAD"", ""branch_code"": ""05682"", ""address"": {""line1"": ""H NO: 7, HOLY HOUSE"", ""line2"": ""GALLAMANDI, NEAR NADEEM BAKERY"", ""line3"": ""MALIHABAD, TAL: MIRZAGANJ"", ""city"": ""LUCKNOW"", ""pincode"":"
Added,05677,,,"{""name"": ""MYSURU JAYALAKSHMIPURAM"", ""branch_code"": ""05677"", ""address"": {""line1"": ""NO: 164, MANJU KRUPA, GROUND FLOOR"", ""line2"": ""1ST MAIN, NEAR RAGHAVENDRA MUT"", ""line3"": ""KALIDASA CROSS ROAD, JAYALAK"
Added,05678,,,"{""name"": ""SINNAR"", ""branch_code"": ""05678"", ""address"": {""line1"": ""2ND NUMBER FLAT"", ""line2"": ""BORADE MALA"", ""line3"": ""NEAR HINDUSTAN PETROL PUMP"", ""city"": ""SINNAR"", ""pincode"": ""422103""}, ""email"": """", """
Deleted,08321,,"{""address"": {""city"": """", ""line1"": ""KITTA NO: 1270, SUKH SHANTI BAHWAN"", ""line2"": ""AMUWA BAZAR, PASCHIM TOLE"", ""line3"": ""SIYARI RURAL MUNICIPALITY-7, LUMBINI PRADESH"", ""pincode"": ""32910""}, ""branch_code",
Deleted,08331,,"{""address"": {""city"": ""BHAJANI"", ""line1"": ""KITTA NO: 1203, OM SHANTI BHAWAN"", ""line2"": ""NEAR SUNRISE ENGLISH BOARDING SCHOOL"", ""line3"": ""WARD NO-1, SUDUR PASCHIM PRADESH"", ""pincode"": ""10901""}, ""branch_",
Modified,01186,address.line1,'OM SHANTI BHAWAN',"'OM SHANTI BHAWAN', S.NO: 300/1"
Modified,01186,contact,08560-279026,
Modified,01186,mobile,9490551440,"9490551440, 9441210078"
Modified,04993,email,dattagalli.mys@bkivv.org,rajarajeshwarinagar.mys@bkivv.org
Modified,00384,address.line2,PAPPULA BAZAR,"PAPPULA BAZAR, PORUMAMILLA ROAD"
Modified,00384,address.line3,PORUMAMILLA ROAD,
Modified,00384,mobile,"9985664124, 9494356880",9985664124
Modified,04225,address.line2,"HOUSING BOARD, MATUNDA ROAD","HOUSING BOARD, JAWAHAR NAGAR"
Modified,04225,address.line3,JAWAHAR NAGAR,BUNDI
Modified,04225,address.line1,"H NO: A-8, OPP: HANUMAN TEMPLE","H NO: 2-A-13, OPP: WATER TANK"
Modified,04225,coords,"['25.4367340000', '75.6583840000']","['25.4358800000', '75.6579900000']"
Modified,04225,mobile,"8104443636, 6350320188","8769653636, 7976666127"
Modified,04278,address.line1,"RAJYOGA BHAWAN, PLOT NO 27 & 28","RAJYOGA BHAWAN, PLOT NO: 27 & 28"
Modified,04278,mobile,"7976484835, 8107375748",7976484835
Modified,04366,address.line1,HOUSE OF RAKESH KUMAR,"HOUSE OF RAKESH KUMAR, PLOT NO: 464, BUILDING NO: 460"
Modified,05330,district,ANANTAPUR,Sri Sathya Sai
Modified,05330,district_id,7,7791
Modified,01664,address.line2,NEAR REST HOUSE,NEAR REST HOUSE ROAD
Modified,02791,mobile,"9844947248, 9490322817","9731366947, 9490322817"
Modified,00336,address.line2,OPP: TV RELYE KENDRA,"OPP: TV RELYE KENDRA, BRAHMA KUMARIS MARG"
Modified,00336,address.line3,TRANSPORT NAGAR,"TRANSPORT NAGAR, STADIUM ROAD"
Modified,00336,contact,07759- 221802,
Modified,02543,mobile,9216919176,8824059519
Modified,03166,mobile,"8219967583, 9459841196",8219967583
Modified,01272,district,Kurnool,Nandyal
Modified,01272,contact,08515- 227407,
Modified,01272,district_id,4,7787
Modified,03074,address.city,KADRA,KADRA (KAR)
Modified,03074,name,KADRA,KADRA (KAR)
