ChangeType,branch_code,FieldName,OldValue,NewValue
Added,05652,,,"{""name"": ""SANGLI VISHRAMBAGH"", ""branch_code"": ""05652"", ""address"": {""line1"": ""FLAT NO: 102,103,105, WING B, IST FLOOR, PALASH"", ""line2"": ""DHAMANI ROAD"", ""line3"": ""VISHRAMBAGH"", ""city"": ""SANGLI"", ""pinco"
Added,05651,,,"{""name"": ""LUCKNOW NILMATHA"", ""branch_code"": ""05651"", ""address"": {""line1"": ""K.NO: 57, SHIV DARSHAN BHAWAN"", ""line2"": ""NEAR SIDHARTH PALACE"", ""line3"": ""ADARSH NAGAR, NILMATHA"", ""city"": ""LUCKNOW"", ""pinco"
Added,05650,,,"{""name"": ""JAIPUR DADU DAYAL NAGAR"", ""branch_code"": ""05650"", ""address"": {""line1"": ""H NO: B-86"", ""line2"": ""VINAYAK ROAD, NEAR DE KIDS CASTLE SCHOOL"", ""line3"": ""DADU DAYAL NAGAR, TAL: MANSAROVAR"", ""city"""
Added,05649,,,"{""name"": ""POKHRA"", ""branch_code"": ""05649"", ""address"": {""line1"": ""GURUKUL"", ""line2"": ""NEAR SANT ASHRAM SCHOOL"", ""line3"": ""WARD NO: 11, THANA: MAHARAJ GANJ"", ""city"": ""POKHRA"", ""pincode"": ""841238""}, ""ema"
Added,05653,,,"{""name"": ""GULAWALA"", ""branch_code"": ""05653"", ""address"": {""line1"": ""H NO: 313, HOUSE OF  DHARAMBIR YADAV"", ""line2"": ""MAHENDRAGARH ROAD"", ""line3"": ""NEAR VEDANTA PUBLIC SCHOOL, PO: HUDINA"", ""city"": ""GULA"
Added,05654,,,"{""name"": ""RAMNAGAR (UTTARA KANNADA)"", ""branch_code"": ""05654"", ""address"": {""line1"": ""PLOT NO: 34, SUKH SHANTI BHAWAN"", ""line2"": ""INDIRA HIGH SCHOOL ROAD"", ""line3"": ""TAL: JOIDA"", ""city"": ""RAMNAGAR"", ""pi"
Modified,04820,address.line3,NEAR AMAUSI CCS AIRPORT,BANK OF INDIA BEHIND ROAD
Modified,04820,address.line2,BEHIND BANK OF INDIA,NEAR AMAUSI CCS AIRPORT
Modified,04820,mobile,9369339684,9389074347
Modified,01237,address.line1,NEAR D.E.E.BANK,NEAR D.C.C.BANK
Modified,01237,address.line2,MAIN ROAD,"MAIN ROAD, NEAR TALUK OFFICE"
Modified,01237,contact,08138- 232676,
Modified,01532,address.line2,NEAR BUS STAND,"NEAR BUS STAND, NAGROTA SURIAN MAIN ROAD"
Modified,01532,contact,01893-265237,
Modified,01532,mobile,"9418830229, 9805184126","9418830229, 8091086931"
Modified,04613,address.line3,"KHURDA HALDIA ROAD, KUAPUT MAUZA",AT: BHAGABANPUR SASAN
Modified,04613,address.line2,AT: BHAGABANPUR SASAN,"KHURDA HALDIA ROAD, KUAPUT MAUZA"
