ChangeType,branch_code,FieldName,OldValue,NewValue
Modified,00082,contact,011-27383484,
Modified,04857,email,,sector43.grg@bkivv.org
Modified,05606,address.line1,"V-204, SAUNDARYA-444","E-303, SAUNDARYA-444"
Modified,05606,mobile,"8780838613, 9099756964","7096614609, 9099756964"
Modified,05606,coords,"['23.2019210000', '72.6152050000']","['23.2021680000', '72.6148880000']"
Modified,01234,address.line1,"D.NO: 272, BEHIND MAHAVEER BHAWAN","D.NO: 48/4, SHIVA DHYANA MANDIRA"
Modified,01234,address.line2,HIRIYANGADI ROAD,"OPP: KARKALA NURSING HOME, SVT SCHOOL LANE"
Modified,01234,address.line3,WARD.NO: 5,"WARD NO: 4, KARKALA"
Modified,01234,mobile,"9480056588, 8618225177","8618225177, 8310222488"
Modified,01234,coords,"['13.2067427000', '74.9919008000']","['13.2157450000', '74.9959000000']"
Modified,01234,contact,08258-231881,
Modified,05615,email,,cidcon5.abd@bkivv.org
Modified,05615,district,Aurangabad,CHHATRAPATI SAMBHAJI NAGAR
Modified,05328,address.line1,"H NO: 90, JAMB ROAD","H NO: 67, JAMB ROAD"
Modified,05496,email,,cuncolim.goa@bkivv.org
Modified,05496,mobile,9673110244,"9673110244, 9404942474"
Modified,00951,contact,011-23649194,
Modified,01549,mobile,"9468329394, 9802525462","8685058141, 7988326960"
Modified,05127,mobile,7999352629,9644371898
Modified,04763,mobile,9448559425,7411944495
Modified,00318,address.line1,"11, APNA NAGAR","H NO: 11, SHIV SADHANA BHAWAN"
Modified,00318,address.line2,OPP-SMRUTI PARK,"APNA NAGAR, OPP-SMRUTI PARK"
Modified,00318,contact,07374-233235,
Modified,04432,name,PATNA BAHADURPUR,PATNA BHAGWAT NAGAR
Modified,04432,address.line1,"H NO: 6H/58, 1ST FLOOR","H/O: NAVIN KUMAR, ANUPAMA INDANE GAS AGENCY"
Modified,04432,address.line2,OPP SHRINIWAS TOWER LANE,"KISHOR PATH, NEAR PATALIPUTRA HOSPITAL"
Modified,04432,address.line3,"BEHIND SAMFORD HOSPITAL, BHUTNATH ROAD BYPASS","BHAGWAT NAGAR, KUMHRAR"
Modified,04432,coords,"['25.5862270000', '85.1743730000']","['25.5898260000', '85.1789440000']"
Modified,03711,coords,"['27.8631270000', '77.2067740000']","['27.8626790000', '77.2067720000']"
Modified,05262,email,,kiratpursahib@bkivv.org
Modified,05262,mobile,7696902066,"7696902066, 8872708160"
Modified,05177,mobile,8168394182,"7015422765, 8168394182"
Modified,02790,mobile,9691484625,8640030620
Modified,03653,mobile,"8817591836, 7999525017",7999525017
Modified,00752,mobile,"9992425066, 9468329395","9992425066, 9802525462"
Modified,04598,name,ANJAD,ANJAD MUKATI COLONY
Modified,04598,address.line1,H NO: 576,H/O: SHAILENDRA SAKLE
Modified,04598,address.line2,NEAR HOSPITAL CHOWK,"MUKATI COLONY, THIKRI ROAD"
Modified,04598,address.line3,THIKRI ROAD,"WARD NO : 02, ANJAD"
Modified,04598,coords,"['22.0426160000', '75.0588370000']","['22.0437340000', '75.0583520000']"
Modified,01094,mobile,9429018725,"9429018725, 9173409048"
Modified,01094,contact,2621-255888,
Modified,04008,name,TEZU,TEZU (LOHIT)
