path,change_type,key,value,source_value,target_value,source_type,target_type,source_length,target_length
data[4].region,value_change,,,MADHUBAN SISTER CONCERNS,INDIA,,,,
data[185].email,value_change,,,ambad@bkivv.org,,,,,
data[185].contact,value_change,,,,02483-220443,,,,
data[185].name,value_change,,,AMBAD JAWAHAR COLONY,AMBAD,,,,
data[278].address.line3,value_change,,,NEAR BUS STAND,,,,,
data[278].name,value_change,,,ARNI PARASURAMAN STREET,ARNI,,,,
data[1075].address.line1,value_change,,,"H NO:17, SHIV DARSHAN BHAWAN",H NO:17,,,,
data[1233].address.line1,value_change,,,"OM SHANTI MUSEUM, D.NO: 6-84/4",OM SHANTI MUSEUM,,,,
data[1254].coords[0],value_change,,,13.2138900000,13.1999687000,,,,
data[1254].coords[1],value_change,,,79.1026500000,79.0959067000,,,,
data[1254].branch_code,value_change,,,05253,02492,,,,
data[1254].address.line2,value_change,,,RANGA REDDY STREET,GODUGUMURU,,,,
data[1254].address.line3,value_change,,,MITTOOR,GREAMSPET,,,,
data[1254].address.line1,value_change,,,"H NO: 20-183, OPP RANKERS SCHOOL",CAPTAIN STREET,,,,
data[1254].email,value_change,,,mittoor.cto@bkivv.org,,,,,
data[1254].mobile,value_change,,,8500748174,"6301342828, 9908758887",,,,
data[1254].name,value_change,,,CHITTOOR MITTOOR,CHITTOOR GREAMSPET,,,,
data[1255].coords[0],value_change,,,13.2269540000,13.2138900000,,,,
data[1255].coords[1],value_change,,,79.1103390000,79.1026500000,,,,
data[1255].branch_code,value_change,,,03265,05253,,,,
data[1255].address.line2,value_change,,,VARADARAJA SWAMY TEMPLE STREET,RANGA REDDY STREET,,,,
data[1255].address.line3,value_change,,,KATTAMANCHI,MITTOOR,,,,
data[1255].address.line1,value_change,,,"HOUSE NO: 1-557B, VISWA SHANTI BHAWAN","H NO: 20-183, OPP RANKERS SCHOOL",,,,
data[1255].email,value_change,,,,mittoor.cto@bkivv.org,,,,
data[1255].mobile,value_change,,,"8500276759, 7760647577",8500748174,,,,
data[1255].name,value_change,,,CHITTOOR KATTAMANCHI,CHITTOOR MITTOOR,,,,
data[1256].coords[0],value_change,,,13.2255152000,13.2269540000,,,,
data[1256].coords[1],value_change,,,79.1353221000,79.1103390000,,,,
data[1256].branch_code,value_change,,,02968,03265,,,,
data[1256].address.line2,value_change,,,"PUTTUR ROAD, SAMBAIAH KANDIGA",VARADARAJA SWAMY TEMPLE STREET,,,,
data[1256].address.pincode,value_change,,,517127,517001,,,,
data[1256].address.line3,value_change,,,PO: C.K.PALLI,KATTAMANCHI,,,,
data[1256].address.line1,value_change,,,"OM SHANTI YOGA BHAVAN', JYOTHI REDDY NAGAR","HOUSE NO: 1-557B, VISWA SHANTI BHAWAN",,,,
data[1256].mobile,value_change,,,"9440420866, 9182788085","8500276759, 7760647577",,,,
data[1256].contact,value_change,,,08572-290707,,,,,
data[1256].name,value_change,,,CHITTOOR SAMBAIAH KANDIGA,CHITTOOR KATTAMANCHI,,,,
data[1257].coords[0],value_change,,,13.2152241000,13.2255152000,,,,
data[1257].coords[1],value_change,,,79.0974101000,79.1353221000,,,,
data[1257].branch_code,value_change,,,00389,02968,,,,
data[1257].address.line2,value_change,,,"D.NO: 16-411/1, M.G.R.STREET","PUTTUR ROAD, SAMBAIAH KANDIGA",,,,
data[1257].address.pincode,value_change,,,517001,517127,,,,
data[1257].address.line3,value_change,,,,PO: C.K.PALLI,,,,
data[1257].address.line1,value_change,,,SHIVA PARAMATMANUBHUTI BHAWAN,"OM SHANTI YOGA BHAVAN', JYOTHI REDDY NAGAR",,,,
data[1257].email,value_change,,,mgrstreet.cto@bkivv.org,,,,,
data[1257].mobile,value_change,,,9441051289,"9440420866, 9182788085",,,,
data[1257].contact,value_change,,,08572-235302,08572-290707,,,,
data[1257].name,value_change,,,CHITTOOR M.G.R.STREET,CHITTOOR SAMBAIAH KANDIGA,,,,
data[1258].coords[0],value_change,,,13.1999687000,13.2152241000,,,,
data[1258].coords[1],value_change,,,79.0959067000,79.0974101000,,,,
data[1258].branch_code,value_change,,,02492,00389,,,,
data[1258].address.line2,value_change,,,"CAPTAIN STREET, GODUGUMURU","D.NO: 16-411/1, M.G.R.STREET",,,,
data[1258].address.line3,value_change,,,GREAMSPET,,,,,
data[1258].address.line1,value_change,,,"SURVEY NO: 122-1, PLOT NO: 3",SHIVA PARAMATMANUBHUTI BHAWAN,,,,
data[1258].email,value_change,,,,mgrstreet.cto@bkivv.org,,,,
data[1258].mobile,value_change,,,9908758887,9441051289,,,,
data[1258].contact,value_change,,,,08572-235302,,,,
data[1258].name,value_change,,,CHITTOOR GREAMSPET,CHITTOOR M.G.R.STREET,,,,
data[1291].mobile,value_change,,,"8280213969, 7978128881",8280213969,,,,
data[1291].contact,value_change,,,,"0671- 2356086, 2356411",,,,
data[2020].address.line1,value_change,,,"A.R.NO: 322, DIAMOND HOUSE, RANGOLI HALLA","DIAMOND HOUSE, RANGOLI HALLA",,,,
data[2685].address.city,value_change,,,KARUNAGAPPALLY,KARUNAGAPALLY,,,,
data[2685].name,value_change,,,KARUNAGAPPALLY,KARUNAGAPALLY,,,,
data[2848].name,value_change,,,KOD KOTESHWAR ROAD,KOD,,,,
data[2925].name,value_change,,,KOSLI (REWARI),KOSLI,,,,
data[3395].region,value_change,,,MADHUBAN SISTER CONCERNS,INDIA,,,,
data[3396].region,value_change,,,MADHUBAN SISTER CONCERNS,INDIA,,,,
data[3922].address.line1,value_change,,,"H NO: 2842, BHATT FALIYA","H NO: 2842, BHATT STREET",,,,
data[3922].contact,value_change,,,,-,,,,
data[3922].name,value_change,,,OLPAD BHATT FALIYA,OLPAD,,,,
data[4179].address.line1,value_change,,,"KHASRA NO: 15/4, BHAGYA VIDHATA BHAWAN, BEHIND MEGHA CREATION","BHAGYA VIDHATA BHAWAN, BEHIND MEGHA CREATION",,,,
data[4187].address.line3,value_change,,,NEAR THUMANACHIYA AMMAN,,,,,
data[4187].name,value_change,,,POLUR NARASIMMAN STREET,POLUR,,,,
data[4863].mobile,value_change,,,9752298774,"7746038774, 9752298774",,,,
data[4863].name,value_change,,,SIMGA BRAHMAN COLONY,SIMGA,,,,
