ChangeType,branch_code,FieldName,OldValue,NewValue
Added,05642,,,"{""name"": ""VADODARA BHAYLI CANAL ROAD"", ""branch_code"": ""05642"", ""address"": {""line1"": ""A TOWER, H NO: 502, EVEREST TRINITY"", ""line2"": ""SUN PHARMA BHAYLI CANAL ROAD"", ""line3"": """", ""city"": ""VADODARA"", ""pi"
Added,05644,,,"{""name"": ""TETALI"", ""branch_code"": ""05644"", ""address"": {""line1"": ""H NO: 4-18/1, YOGI BHAWAN"", ""line2"": ""NADIVEEDHI, NEAR Z.P. HIGH SCHOOL"", ""line3"": ""TANUKU MANDAL"", ""city"": ""TETALI"", ""pincode"": ""53421"
Added,05643,,,"{""name"": ""VANADARA"", ""branch_code"": ""05643"", ""address"": {""line1"": ""H NO: 121, NEAR KEDARNATH MANDIR"", ""line2"": ""PANCHAL FALIYA, BHILAPUR ROAD"", ""line3"": ""TAL: DABHOI"", ""city"": ""VANADARA"", ""pincode"": """
Modified,02665,mobile,9892635265,"9167995256, 9819489866"
Modified,02665,contact,022-29661777,
Modified,90001,region,INDIA,MADHUBAN SISTER CONCERNS
Modified,03935,contact,07752-296566,
Modified,02874,mobile,"9972320513, 7899180610",9972320513
Modified,00423,address.line3,BADIGER BHAVI,
Modified,00423,contact,08443- 256176,
Modified,00423,email,,shorapur@bkivv.org
Modified,03287,district,Guntur,Palnadu
Modified,03287,district_id,11,7789
Modified,01429,district,JAYASHANKAR BHUPALPALLY,HANUMAKONDA
Modified,01429,address.line1,H.NO: 3-921,"H.NO: 3-921, SHIVA SMRITI BHAWAN"
Modified,01429,contact,08713- 241002,
Modified,01429,district_id,5315,23
Modified,04672,mobile,"9739084795,  9110296544","9110296544, 8548868073"
Modified,02279,mobile,"9826134721, 9691426547, 9399125512","9826134721, 9399125512"
Modified,05451,address.line2,NEAR SWAMINARAYAN GURUKUL,NEAR SWAMINARAYAN GURUKUL MANDIR
Modified,05451,address.line3,VED ROAD,"VED-GURUKUL ROAD, NANI VED"
Modified,02169,mobile,7655875053,9437527311
Modified,00285,address.line1,"""LIGHT HOUSE""","""LIGHT HOUSE"", H.NO: 8"
Modified,00285,contact,0286-2244679,
Modified,03307,address.line1,"HOUSE NO: 288, PRABHU SMRUTI BHAWAN","H NO: 288, PRABHU SMRUTI BHAWAN"
Modified,03307,address.line2,NEAR SHIVA TEMPLE,"NEAR SHIVA TEMPLE, MANDIR SAHI, BETNOTI ROAD"
Modified,03307,address.line3,MANDIR SAHI,
Modified,01986,mobile,"7499050411, 9529923312","9529923312, 7499050411"
Modified,01986,address.line1,"H.NO: 1486, HOUSE OF MANOHAR SHENDE",PRABHU PRIYA DHAM
Modified,01986,address.line2,"GURNULE WADI ROAD, WARD NO.3","MARKET ROAD, WARD NO:15"
Modified,01986,address.line3,,"NEAR SANSKRUTIK BHAWAN, KUHI"
Modified,01986,coords,"['21.0159933000', '79.3650833000']","['21.0133080000', '79.3669000000']"
Modified,01986,name,KUHI,KUHI (NAGPUR)
Modified,00498,mobile,9663936833,9353695816
Modified,01359,contact,040-24021252,
Modified,00230,address.line1,"'GYAN GANGA', 32 CHANDRANAGAR SOCIETY","GYAN GANGA, H.NO:32, CHANDRANAGAR SOCIETY"
Modified,01487,district,WARANGAL URBAN,HANUMAKONDA
Modified,01487,address.city,WARANGAL,HANUMAKONDA
Modified,01487,name,WARANGAL SUBEDARI,HANUMAKONDA SUBEDARI
Modified,03224,email,,dindori@bkivv.org
Modified,00970,mobile,"9837217166, 9837752528","8433060129, 9027058612"
Modified,00688,mobile,,"9391006061, 9912465068"
Modified,00688,address.line1,'SHIV SHAKTI PANDAV BHAWAN',SHIV SHAKTI PANDAV BHAWAN
Modified,04832,mobile,9417340890,8968089640
Modified,03466,address.line1,H.NO: J-10,"BLOCK NO-J, H.NO: -10"
Modified,03466,address.line2,NEAR SHAHJI GURUDWARA,"NEAR SHAHJI GURUDWARA, LAJPAT NAGAR-3, NEAR RING ROAD"
Modified,03466,address.line3,LAJPAT NAGAR-3,
Modified,04014,address.line1,"FLAT NO-102, HOUSE OF LINGA SHARMILA","FLAT NO-102, HOUSE OF LINGA SHARMILA, 1ST FLOOR"
Modified,04014,address.line2,"1ST FLOOR, B-BLOCK, CAPITAL GREEN APPARTMENT","B-BLOCK, CAPITAL GREEN APPARTMENT"
Modified,04014,address.line3,"SECRETARIAT EMPLOYEES COLONY, MANIKONDA","SECRETARIAT EMPLOYEES COLONY, PUPPALAGUDA, MANIKONDA"
Modified,01545,mobile,9816128121,"9816128121, 8219034968"
Modified,01545,contact,01704- 224294,
Modified,04219,mobile,9826745504,"9826745504, 9424593378"
Modified,05224,mobile,"9512513438, 9824592725",9512513438
Modified,04685,mobile,"9878710970,  9478634378","9878710970, 9478634378"
Modified,04685,address.line2,"SUBHASH PARK, PHILLAUR TO NURMAHAL RD","SUBHASH PARK, PHILLAUR TO NURMAHAL ROAD"
Modified,04723,address.line1,H NO: 5/57-1,H NO: 9/111-1
Modified,04723,address.line2,NEAR KALIAMMAN TEMPLE,PAPANAIDU STREET
Modified,04723,address.line3,THANAPPA MUDHALI STREET,"KUMMARAGUNTA, SATYAVEDU"
Modified,04723,coords,"['13.4343369000', '79.9568345000']","['13.4374220000', '79.9612630000']"
Modified,04723,email,,satyavedu@bkivv.org
Modified,02606,name,OSIAN,OSIAN (JODHPUR)
Modified,01806,mobile,9407753406,"9407753406, 9584472541"
Modified,01806,address.line1,"MANDIR PARISAR, BADHE MATH ROAD",PRABHU PASAND BHAWAN
Modified,01806,address.line2,WARD NO:9,"WARD NO:12, PHUL JHARIYA PARA"
Modified,01806,address.line3,RAJA PARA,
Modified,01806,coords,"['21.5852811000', '83.0776763000']","['21.5847570000', '83.0729910000']"
Modified,02423,mobile,"9290451137, 9394780577",9290451137
Modified,00573,mobile,9766342610,"9766342610, 9834166477"
Modified,00573,address.line2,AMBETHAN ROAD,MAULI GRUH NIRMAN SOCIETY
Modified,00573,address.line3,,AMBETHAN ROAD
Modified,03937,mobile,9761820241,"9761820241, 7500660639"
Modified,03937,address.line1,"H NO:19/154, SHIV SHAKTI DHAM","H NO:13, HARIDHAM COLONY"
Modified,03937,address.line2,"AGRA ROAD, SHANTI PURAM COLONY","AGRA ROAD, NEAR RUSA HOSPITAL"
Modified,03937,address.line3,BEHIND RATHI HOSPITAL,"KOIL, SASNI GATE"
Modified,03937,coords,"['27.8621975000', '78.0770550000']","['27.8500870000', '78.0743660000']"
Modified,03937,email,,sasnigate.alg@bkivv.org
Modified,00412,email,gulbarga@bkivv.org,adarshnagar.glb@bkivv.org
Modified,00390,mobile,9441226922,"9441226922, 8074978749"
Modified,00390,address.line1,GANDHI STREET,D.NO: 3-126
Modified,00390,address.line2,,GANDHI STREET
Modified,00390,contact,08581- 256098,
Modified,00390,email,,chowdepalli@bkivv.org
Modified,00413,mobile,9945905066,7975182216
Modified,00413,contact,08472- 220935,
Modified,00413,email,,sharannagar.glb@bkivv.org
Modified,02111,address.line3,"WARD NO-23, SOMWAR PETH, TAL: HAVELI","WARD NO-23, SOMWAR PETH, STATION ROAD, TAL: HAVELI"
Modified,04128,address.line2,BEHIND SARASWATI SHISHU MANDIR,"BEHIND SARASWATI SHISHU MANDIR, BY PASS ROAD"
Modified,00427,address.line2,NEAR RURAL POLICE STATION,"NEAR RURAL POLICE STATION, BESIDE BALAJI TEMPLE ROAD"
Modified,00427,address.line3,"BESIDE BALAJI TEMPLE ROAD, BALAJI NAGAR",BALAJI NAGAR
Modified,00427,contact,08473- 252720,
Modified,04656,mobile,9021328477,8007327573
Modified,04656,address.line1,H NO: 843/2,VARDANI BHAWAN
Modified,04656,address.line2,"MAIN ROAD, GANDHI WARD","BAZAR ROAD, GANDHI WARD"
Modified,04656,address.line3,TAL: PAVANI,TAL: PAWANI
Modified,04656,coords,"['20.8748080000', '79.6879650000']","['20.8752600000', '79.6887100000']"
Modified,03037,mobile,8830539568,"9420855301, 8830539568"
Modified,03037,address.line1,"H.NO: 10, WARD NO: 2","PLOT NO: 10/11, SHIV SANDESH BHAWAN"
Modified,03037,address.line2,"SAPTSHRUNGI MANDIR ROAD, CHANKAPUR","SAPTSHRUNGI MANDIR ROAD, NEAR HUSNOOR CONVENT"
Modified,03037,address.line3,"JAI BHOLE NAGAR, TAL: SAONER","RAJ NAGAR, TAL: SAONER"
Modified,03037,coords,"['21.2787460000', '79.1059360000']","['21.2778370000', '79.1062280000']"
Modified,04994,mobile,9912916539,"9912916539, 9396523442"
Modified,04994,address.line1,H.NO:12-461-C,PLOT NO: 14
Modified,04994,address.line2,"NEAR HANUMAN TEMPLE, SHARADA NAGAR","NEAR TEMPLE ROAD ARCH, SARASWATI TEMPLE ROAD"
Modified,04994,address.line3,"BASARA MAIN ROAD, TAL: MUDHOLE","BASARA, TAL: MUDHOLE"
Modified,04994,coords,"['18.8740510000', '77.9463480000']","['18.8773170000', '77.9498900000']"
Modified,01481,address.line1,"'VISHWA KALYANI BHAWAN', PLOT NO: 51","VISHWA KALYANI BHAWAN, PLOT NO: 51"
Modified,01481,address.line2,"WARD NO. 13, SANJEEVI GIRI COLONY ","WARD NO. 13, SANJEEVI GIRI COLONY"
Modified,01481,contact,0891-2515366,
Modified,03125,address.line2,"SECTOR-E, SUDAMA NAGAR","SECTOR-E, SUDAMA NAGAR, NEAR BANK OF INDIA, GOPUR SQUARE, RING ROAD"
Modified,03125,address.line3,"NEAR BANK OF INDIA, GOPUR SQUARE",
Modified,03125,contact,0731-2481060,
Modified,04572,mobile,"9272555987,  9892039082","9272555987, 9892039082"
Modified,04572,address.line1,"B/104, 1ST FLOOR, RAJDEEP COMPLEX","H.NO : 101, CLUB HOUSE BUILDING"
Modified,04572,address.line2,"BEHIND RAJHANS JEWELLERS, NEAR AADHAR PATPEDHI","PAVANPUTRA RESIDENCY, WADA ROAD"
Modified,04572,address.line3,"WADA ROAD, TAL: BHIWANDI","KALHER, TAL: BHIWANDI"
Modified,04572,coords,"['19.2471490000', '73.0184360000']","['19.2429820000', '73.0150550000']"
Modified,02422,district,West Godavari,Eluru
Modified,02422,section,04600,02422
Modified,02422,district_id,5,7786
Modified,04679,mobile,9988001481,9056001481
Modified,02564,mobile,"9341332974, 9845904428","9845904428, 9036791802"
Modified,02705,mobile,9437710073,"8249223884, 9437710073"
Modified,03501,address.line1,"FLAT NO: A-21,  MANALI COMPLEX","FLAT NO: A-21, MANALI COMPLEX"
Modified,03501,contact,-,
Modified,04871,mobile,9216442953,8968089640
Modified,04871,address.line1,S CF 8,H.NO: 63
Modified,04871,address.line2,DHAKA MANDI,"NEAR PARK, BESIDE GRAIN MARKET"
Modified,04871,address.line3,TOWN SHIP,MULLANPUR DAKHA
Modified,04871,coords,"['30.8434200000', '75.6755800000']","['30.8425230000', '75.6741400000']"
Modified,01423,mobile,9492813565,"9492813565, 7981675041"
Modified,01423,address.line2,OPP: THYAGARAJA MANDIR,"OPP: THYAGARAJA MANDIR, GANDHI ROAD"
Modified,01423,contact,08592-222488,
Modified,03217,mobile,"9009328405, 8109591503",8839148889
Modified,03217,address.line2,BHAWAR KUNWAH ,"BHAWAR KUNWAH, BHOLARAM USTAD MARG ROAD"
Modified,03217,address.line3,BHOLARAM USTAD MARG ROAD,
Modified,00177,address.line1,DIVYA JYOTI BHAWAN,"H.NO: 5/19, DIVYA JYOTI BHAWAN"
Modified,00177,address.line2,"H.NO: 5/19, L.I.C COLONY ROAD","L.I.C COLONY ROAD, NEAR ITDA OFFICE"
Modified,00177,contact,06858- 222120,
Modified,00937,address.line1,HOUSE OF DHARA SINGH,LAL KOTHI MOHALLA
Modified,00937,address.line2,LAL KOTHI MOHALLA,"AU DARWAZA, NEAR MURLI MANOHAR MANDIR"
Modified,00937,address.line3,"AU DARWAZA, NEAR MURLI MANOHAR MANDIR",
Modified,04846,mobile,"9720203144, 8791267505","9627054205, 8445679111"
Modified,01749,name,BHUNA,BHUNA (FATEHABAD)
Modified,05004,mobile,"9918256636, 8931918850","9918256636, 6390528756"
Modified,05004,address.line1,BEHIND POLICE CHOWKI,BRAHMA KUMARIS
Modified,05004,address.line2,NEAR AMIT VARIETY STORE,NEAR GUPTA STATIONERS PARSURAM BOOK SELLER
Modified,05004,address.line3,BUS STAND ROAD,"NEW BASTI BITHUA, WARD NO: 6, BELTHARA ROAD"
Modified,05004,coords,"['26.1178620000', '83.8473960000']","['26.1170100000', '83.8477500000']"
Modified,04502,mobile,"9009146566, 9131868785","9131868785, 9009146566"
Modified,04502,address.line1,"H NO: 116-C, MHOW NEEMUCH ROAD",H NO: B-86
Modified,04502,address.line2,NEAR CRISTINA CONVENT HS SCHOOL,NEAR KHATUSHYAM TEMPLE
Modified,04502,coords,"['22.5722689000', '75.7392422000']","['22.5719320000', '75.7399350000']"
Modified,04502,email,,dharnaka.mhw@bkivv.org
Modified,03452,address.line3,GULLALAPALEM VUDA COLONY,"CHILDREN PARK ROAD, GULLALAPALEM VUDA COLONY"
Modified,03107,mobile,"7389753892, 8817641053","8817641053, 8963931153, 9340471002"
Modified,03107,name,KOPRA,KOPRA (GARIABAND)
Modified,02339,district,ANANTAPUR,Sri Sathya Sai
Modified,02339,address.line2,BEHIND ADCC BANK,"BEHIND ADCC BANK, VAJRALA STREET"
Modified,02339,address.line3,VAJRALA STREET,
Modified,02339,district_id,7,7791
Modified,05002,address.line1,"KHASRA NO: 634,",BRAHMA KUMARIS
Modified,05002,address.line2,"KOTWARIPUR MOD, BELTHARA ROAD","CHAMAN MARKET, NEW BASTI"
Modified,05002,address.line3,"JAHNAGIRPUR, TAL: RASRA",TAL: RASRA
Modified,05002,coords,"['25.9809280000', '83.8735900000']","['25.9667560000', '83.8723050000']"
Modified,05002,name,NAGRA,NAGRA (BALLIA)
Modified,00552,contact,07223- 221353,
Modified,02870,mobile,9819943734,"9819943734, 9920684053"
Modified,02870,contact,022- 26656585,
Modified,02982,mobile,"9225963159, 9156212459","9225963159, 9970174926"
Modified,01410,contact,08856- 272094,
Modified,01759,mobile,9979795240,"9979795240, 9925177948"
Modified,01759,address.line1,'SADBHAVNA',"SADBHAVNA BHAWAN, AYODHYAPURI, PLOT NO:43, SERVEY NO: 140/4"
Modified,01759,address.line2,TALAB ROAD,OPP ENGLISH MEDIUM SCHOOL
Modified,01759,address.line3,,NAGASAR LAKE ROAD
Modified,01759,contact,02830-220516,
Modified,00890,contact,0512-2641220,
Modified,04244,name,NOIDA SECTOR 105,NOIDA SECTOR 108
Modified,02017,district,Guntur,Palnadu
Modified,02017,district_id,11,7789
Modified,02727,mobile,"6268094500, 9893578563",6268094500
Modified,01473,mobile,"9404525319, 9552818050","9404525319, 9158828057"
Modified,01473,contact,07231-238018,
Modified,02087,mobile,"8297917745, 9573512142",8309666522
Modified,02087,contact,08592- 242808,
Modified,03565,mobile,8958271780,"8958271780, 8393004447"
