path,change_type,key,value,source_value,target_value,source_type,target_type,source_length,target_length
data[4].region,value_change,,,MADHUBAN SISTER CONCERNS,INDIA,,,,
data[429].address.line3,value_change,,,"WARD NO: 23, PACHPADRA ROAD",WARD NO: 23,,,,
data[429].contact,value_change,,,,02988-224883,,,,
data[429].mobile,value_change,,,9414155015,"9414155015, 7014985784",,,,
data[429].district_id,value_change,,,7846,372,,,,
data[429].district,value_change,,,Balotra,Barmer,,,,
data[1058].address.line2,value_change,,,"LAXMI PUZA ROAD, CONTACTOR COLONY",LAXMI PUZA ROAD,,,,
data[1058].name,value_change,,,BURLA CONTACTOR COLONY,BURLA,,,,
data[1058].mobile,value_change,,,"8249411847, 9658073183",9658073183,,,,
data[1298].coords[0],value_change,,,20.4545973300,20.4217280000,,,,
data[1298].coords[1],value_change,,,85.8871525900,85.9132130000,,,,
data[1298].address.pincode,value_change,,,753012,754112,,,,
data[1298].address.line2,value_change,,,ARUNDOY MARKET,"SRI KRISHNA VIHAR,  JHINKIRIA BERHAMPUR",,,,
data[1298].address.line1,value_change,,,"PLOT NO: 2227, NEAR MAHAVIR APARTMENT","PLOT NO: 217/399, DIVYANIDAM",,,,
data[1298].address.line3,value_change,,,LINK ROAD,"42 MOUZA RING ROAD, TAL: SADAR",,,,
data[1298].contact,value_change,,,0671- 2321376,,,,,
data[1298].branch_code,value_change,,,03237,04327,,,,
data[1298].name,value_change,,,CUTTACK LINK ROAD,CUTTACK JHINKIRIA,,,,
data[1298].mobile,value_change,,,9438587145,"7848062603, 8763869668",,,,
data[1299].coords[0],value_change,,,20.4224040000,20.4545973300,,,,
data[1299].coords[1],value_change,,,85.9150450000,85.8871525900,,,,
data[1299].address.pincode,value_change,,,754112,753012,,,,
data[1299].address.line2,value_change,,,"SRI KRISHNA VIHAR,  42 MOUZA RING ROAD",ARUNDOY MARKET,,,,
data[1299].address.line1,value_change,,,"PLOT NO: 2612/1805, DIBATI, DULADAI PITHA","PLOT NO: 2227, NEAR MAHAVIR APARTMENT",,,,
data[1299].address.line3,value_change,,,"JHINKIRIA, BERHAMPUR, TAL: SADAR",LINK ROAD,,,,
data[1299].contact,value_change,,,,0671- 2321376,,,,
data[1299].branch_code,value_change,,,04327,03237,,,,
data[1299].name,value_change,,,CUTTACK JHINKIRIA,CUTTACK LINK ROAD,,,,
data[1299].mobile,value_change,,,"9827054770, 6371506887",9438587145,,,,
data[1698].name,value_change,,,GADA JANDA CHOWK,GADA,,,,
data[1748].coords[0],value_change,,,23.8593610000,23.8512364000,,,,
data[1748].coords[1],value_change,,,77.9399800000,77.9367324000,,,,
