ChangeType,branch_code,FieldName,OldValue,NewValue
Modified,00842,address.city,ERODE,ERODE (TN)
Modified,00842,name,ERODE,ERODE (TN)
Modified,03773,mobile,"9669748774,7999941430","9669748774, 9584994142"
Modified,03773,address.line3,NEAR TEHSIL OFFICE,CHURHAT
Modified,03773,address.line2,BICHHI ROAD,"BICHHI ROAD, WARD NO: 14"
Modified,03773,address.line1,H.NO: 1444/12,JAMUNA JI COMPLEX
Modified,03773,coords,"['24.4277435000', '81.6780656000']","['24.4274960000', '81.6763440000']"
Modified,03638,mobile,"9460420331, 9982878113",9828144680
Modified,03638,address.line3,NARSINGH DWAR,WARD NO : 18
Modified,03638,address.line2,OPP STATE BANK ATM,"PREM NAGAR, NEAR SHIVA TEMPLE"
Modified,03638,address.line1,HOUSE OF MULCHAND JI RANKA,SHIV JYOTI BHAWAN
Modified,03638,coords,"['25.7339333000', '74.3310046000']","['25.7396810000', '74.3330280000']"
Modified,03638,name,ASIND,ASIND PREM NAGAR
Modified,00249,contact,"079- 23211142, 23211143",
Modified,00249,address.line2,NEAR ENQUIRY OFFICE,"NEAR ENQUIRY OFFICE, BRAHMAKUMRIS ROAD"
Modified,03479,address.city,AMBATTUR,CHENNAI AMBATTUR
Modified,03479,name,AMBATTUR,CHENNAI AMBATTUR
Modified,00115,mobile,"9050459138, 9416861635",9050459138
Modified,00115,contact,01267- 282019,
Modified,00115,district_id,123,2934
Modified,00115,district,GURUGRAM,NUH
Modified,00115,address.line3,GURGAON,
Modified,00115,name,TAURU,TAURU (NUH)
Modified,02541,mobile,9435105630,"9435105630, 7086670636"
Modified,00215,mobile,9974056688,"9974056688, 7990707892"
Modified,00215,contact,079-22700546,
Modified,04183,address.line3,"NEW PALAM VIHAR, PHASE 2, SECTOR 109",
Modified,04183,address.line2,UPWAN SOCIETY,"UPWAN SOCIETY, NEW PALAM VIHAR, PHASE 2, SECTOR 109"
Modified,04183,name,GURUGRAM NEW PALAM VIHAR PHASE 2,GURUGRAM NEW PALAM VIHAR
Modified,00724,address.line1,"RAJYOGA BHAWAN, PLOT NO: 6","RAJYOGA BHAWAN, PLOT NO: 5, 6"
Modified,00293,name,SIHOR,SIHOR (BHAVNAGAR)
Modified,03566,mobile,09419277790,9419277790
Modified,03566,email,,talabtillo.jat@bkivv.org
Modified,03566,address.line2,DURGA LANE,"KABIR COLONY, POONCH HOUSE"
Modified,03566,address.line1,H.NO-1509,"H.NO:162, LANE 6"
Modified,03566,coords,"['32.7345880000', '74.8225790000']","['32.7345510000', '74.8224280000']"
Modified,01087,contact,079-23273270,
Modified,00758,mobile,9896403653,"9896403653, 8901868070"
Modified,00758,contact,01744-270615,
Modified,02805,mobile,9393074058,"9393074058, 8074232201"
Modified,02805,contact,040- 27545464,
Modified,05055,mobile,9414823567,"8005744852, 9414823567"
Modified,05055,district_id,371,7850
Modified,05055,district,Jaipur,Kotputli Behror
Modified,05055,address.line3,NEAR BUS SATAND,NAREDA
Modified,05055,address.line2,"WARD NO:-10, KUMAWAT MOHALLA","KOTPUTLI ROAD, OPP INDIAN OIL PETROL PUMP"
Modified,05055,address.line1,SURAJ SINGH CHOWK,PREM PLAZA
Modified,05055,coords,"['27.7280630000', '76.1013350000']","['27.7249240000', '76.1047410000']"
Modified,00223,mobile,9429182005,"9429182005, 9427859690"
Modified,00223,contact,02692-241365,
Modified,04647,address.line3,"WARD NO: 11, TAL: KOTMA","BIJURI, TAL: KOTMA"
Modified,04647,address.line2,"GUPTA COLONY, STATION ROAD",NEAR SARASWATI SHISHU MANDIR SCHOOL
Modified,04647,address.line1,"H NO: 22, NEAR HANUMAN MANDIR","CPDI CAMP, WARD NO 10"
Modified,04647,coords,"['23.2520810000', '82.1163430000']","['23.2523670000', '82.1134680000']"
Modified,02644,mobile,9825900802,"9825900802, 9426618802"
Modified,00857,name,SALEM,SALEM (TN)
Modified,04930,address.line3,TAL: GOHANA,"JAGSI , TAL: GOHANA"
Modified,04930,address.line2,"SHIV MANDIR ROAD, WARD NO-12","NEAR PEER, WARD NO-4"
Modified,04930,address.line1,H NO: 487,H NO: 498
Modified,04930,coords,"['29.2537690000', '76.6613350000']","['29.2521660000', '76.6593560000']"
Modified,04930,name,JAGSI,JAGSI (SONIPAT)
Modified,02392,name,BHOJ,BHOJ (BELAGAVI)
Modified,02114,contact,02696-282180,
Modified,03083,mobile,9427043848,"9427043848, 9979893848"
Modified,03083,email,,dantiwada@bkivv.org
Modified,01111,address.line1,"""PRABHU PRAPTI BHAWAN""","H NO: 1718, ""PRABHU PRAPTI BHAWAN"""
Modified,01082,mobile,"9408966610,9428919639","9408966610, 9428919639"
Modified,01082,name,BOTAD,BOTAD (GUJ)
Modified,03916,email,,vinayaknagar.bgk@bkivv.org
Modified,03916,address.line3,"EXTENTION AREA, VINAYAK NAGAR",VINAYAK NAGAR
