ChangeType,branch_code,FieldName,OldValue,NewValue
Deleted,08320,,"{""address"": {""city"": ""LUMBINI"", ""line1"": ""KITTA NO: 2042, GLOBAL PEACE CENTRE"", ""line2"": ""PARSA CHOWK, LUMBINI ROAD"", ""line3"": ""LUMBINI SANSKRITI MUNICIPALITY-6"", ""pincode"": ""32914""}, ""branch_code"": """,
Modified,03774,email,,vasundhraenclave.hts@bkivv.org
Modified,03774,mobile,"8881274851, 9412877931","8881274851, 8057140328"
Modified,00012,mobile,"9425642400,9893902999",9425642400
Modified,03953,name,SONEPAT ARYA NAGAR,SONIPAT ARYA NAGAR
Modified,03953,address.city,SONEPAT,SONIPAT
Modified,01365,name,KAGAL,KAGAL (KOLHAPUR)
Modified,02069,address.line1,"H.NO: CG/62/04/72, PRABHU MILAN BHAWAN","NEW PLOT NO: 383/23, PRABHU MILAN BHAWAN"
Modified,02069,address.line2,"BABU BAGICHA, NEAR BUS STAND","BABU BAGICHA, BUS STAND ROAD"
Modified,01023,mobile,9337515163,"9337515163, 9827699687"
Modified,04352,name,BENGALURU ANANTHANAGAR,BENGALURU ANANTH NAGAR
Modified,04352,coords,"['12.8349790000', '77.6918320000']","['12.8313900000', '77.6914700000']"
Modified,04352,address.line3,"ELECTRONIC CITY, ANANTHA NAGAR","GLASS FACTORY LAYOUT, ANANTH NAGAR, TAL: ANEKAL"
Modified,04352,address.line1,"H NO: 1072, SHRINIKETHANA, 3RD CROSS","SURVEY NO: 6607/139/1, AKHANDA JYOTI BHAWAN"
Modified,04352,address.line2,"PHASE II, OPP: UNION BANK, HUSKUR GATE","ATTIBELE HOBLI, KAMMASANDRA"
Modified,04352,email,,ananthanagar.blr@bkivv.org
Modified,01924,name,CHURU,CHURU (RAJ)
Modified,01924,address.city,CHURU,CHURU (RAJ)
Modified,02057,name,DAUSA,DAUSA (RAJ)
Modified,02057,address.city,DAUSA,DAUSA (RAJ)
Modified,01879,address.line1,"499/2, SUHAG NAGAR","H.NO: 499/2, SUHAG NAGAR"
Modified,05623,name,MUNDI,MUNDI (KHANDWA)
Modified,05623,address.city,MUNDI,MUNDI (KHANDWA)
Modified,04462,address.line1,BHAGYA VIDATA BHAWAN,"BHAGYA VIDATA BHAWAN, SITE NO: 20"
Modified,05247,district,Karimganj,SRIBHUMI
Modified,05247,mobile,"8638751602, 7086528029",9435596351
Modified,05000,coords,"['26.8468780000', '82.1998130000']","['26.8409710000', '82.2216540000']"
Modified,05000,address.line3,TAL: TARABGANJ,"ISMAILPUR KATRA SHIVDAYALGANJ, TAL: TARABGANJ"
Modified,05000,address.line1,OPP: PETROL PUMP,H/O: KARTA RAM PASWAN
Modified,05000,address.line2,"KANAKPUR, NAWAB GANJ ROAD","OPP: JUNIOR HIGH SCHOOL, GONDA ROAD"
Modified,05000,email,,katrashivdayalganj@bkivv.org
Modified,05000,mobile,"8787023005, 9580095781",8787023005
Modified,04643,address.line2,"ANAND NAGAR, WARD NO: 8","ANAND NAGAR, WARD NO: 8, SHIVAJI WARD"
Modified,03824,mobile,9755499331,8305961172
Modified,01019,name,HOJAI,HOJAI (NAGAON)
Modified,01019,address.city,HOJAI,HOJAI (NAGAON)
Modified,00913,name,AMBAH,AMBAH (MORENA)
Modified,00913,address.city,AMBAH,AMBAH (MORENA)
Modified,01676,address.line2,ARBINDO NAGAR,ARBINDO NAGAR STREET
Modified,02790,name,GURUR,GURUR (BALOD)
Modified,02790,address.city,GURUR,GURUR (BALOD)
Modified,01171,contact,08942-272733,
Modified,01171,mobile,,9959454674
Modified,03448,district,Osmanabad,DHARASHIV
Modified,03448,name,BHOOM,BHOOM (DHARASHIV)
Modified,02926,name,BARI,BARI (DHOLPUR)
Modified,02926,address.city,BARI,BARI (DHOLPUR)
Modified,04271,name,ARWAL,ARWAL (BHR)
Modified,04271,address.city,ARWAL,ARWAL (BHR)
Modified,00873,contact,05542-284184,
Modified,00873,name,BASTI,BASTI (UP)
Modified,04109,mobile,9627288319,8433028844
Modified,02450,name,BARAD,BARAD (NANDED)
Modified,02450,address.city,BARAD,BARAD (NANDED)
Modified,03358,name,RAHA,RAHA (NAGAON)
Modified,03358,address.city,RAHA,RAHA (NAGAON)
Modified,05340,name,ASHTA (MP) CHANDAN NAGAR,ASHTA CHANDAN NAGAR
Modified,05340,address.city,ASHTA (MP),ASHTA
Modified,05340,email,,chandannagar.ast@bkivv.org
Modified,02419,contact,0731- 2362362,
Modified,00102,contact,0121-2517070,
Modified,04086,address.line1,PRABHU PRAPTI,"PRABHU PRAPTI, KHASRA NO: 14/3"
Modified,02335,address.line1,"SHIV DARSHAN BHAWAN, NEAR SAI COLD STORE","H.NO: 1607, SHIV DARSHAN BHAWAN"
Modified,02335,address.line2,TARAPURAM COLONY,"NEAR SAI COLD STORE, TARAPURAM COLONY"
Modified,02335,mobile,"9415709599,9084373639","9084373639, 7078099898"
Modified,00266,address.line1,"'VARDANI BHAWAN', HOUSE NO:1","VARDANI BHAWAN, H.NO:1"
Modified,00266,email,,kukurwada@bkivv.org
Modified,01442,contact,02353-222876,
Modified,01320,contact,02323-246059,
Modified,01320,name,AJARA,AJARA (KOLHAPUR)
Modified,03796,address.line1,"H NO: 1, "" GYAN TIRTH ""","H NO: 1, GYAN TIRTH, TIRUPATI SOHAN BANGLOWS"
Modified,03796,address.line2,TIRUPATI SOHAN BANGLOWS,NEAR MURLIDHAR SOCIETY
Modified,03186,contact,-,
Modified,03186,mobile,"9212972836, 9536832690","9818216799, 9315892903"
Modified,03111,email,,shivajinagar@bkivv.org
Modified,03111,mobile,"9794815979,  9935706737","9794815979, 9935706737"
Modified,90007,region,INDIA,MADHUBAN SISTER CONCERNS
Modified,00661,contact,02452-231120,
Modified,00661,address.line3,VASMAT ROAD,
Modified,00661,address.line2,SHIVRAM NAGAR,"SHIVRAM NAGAR, VASMAT ROAD"
Modified,00695,name,UMRED,UMRED (NAGPUR)
Modified,00695,address.line3,WARD.NO:4,WARD NO:4
Modified,05565,address.line2,GANESH NAGARI,"GANESH NAGARI, NEAR GOVT. HOSPITAL, MAIN ROAD"
Modified,04199,coords,"['26.9094590000', '83.8401960000']","['26.9092080000', '83.8415080000']"
Modified,04199,address.line3,"WARD NO:4, SINGHA ROAD",WARD NO:12
Modified,04199,address.line1,BAIKUNTHDHAM,"PLOT NO:1396, VISHWA DIVYA JIVAN NIRMAN BHAWAN"
Modified,04199,address.line2,NEAR PUNJAB MILL SOCIETY,"SINGHA ROAD, OPP: ADARSH INTER COLLEGE"
Modified,04199,email,,ramkola@bkivv.org
Modified,04199,mobile,"9919515581, 7704824554",9919515581
Modified,00914,name,BHIND,BHIND (MP)
Modified,00914,address.city,BHIND,BHIND (MP)
Modified,00914,address.line1,'PAWAN KUTI',PAWAN KUTI
Modified,02038,address.line3,"VIVEK VIHAR COLONY, MURARI NAGAR","OM SHANTI GALI, VIVEK VIHAR COLONY, MURARI NAGAR"
Modified,04412,coords,"['19.3778430000', '76.2242510000']","['19.3864350000', '76.2178270000']"
Modified,04412,address.line3,"PATIL GALLI, DHOTAR JODA","PARTUR ROAD, WARD NO-1, DHOTAR JODA"
Modified,04412,address.line1,H NO: 216,"PLOT NO: 54, 55, PRABHU UPHAR BHAWAN"
Modified,04412,address.line2,NEAR SIDDHESHWAR MANDIR,"OPP: PRIMARY HEALTH CENTRE, SHIKSHAK COLONY"
Modified,04412,email,,ashtidhotarjoda@bkivv.org
Modified,01798,address.line2,NEAR LOKMANYA VIDYA NIKETAN SCHOOL,"GATE NO:2, NEAR LOKMANYA VIDYA NIKETAN SCHOOL"
Modified,05601,address.line1,"H NO: 77, SUNDERLAL SHARMA WARD","H NO: 77, NEAR VARMA KIRANA STORE, SUNDERLAL SHARMA WARD"
Modified,05601,address.line2,"NEAR VARMA KIRANA STORE, WARD NO: 20, BILASPUR ROAD","NEAR DM TOWER, WARD NO: 21, BILASPUR ROAD"
Modified,01658,contact,07560-243781,
Modified,01658,name,ASHTA (MP) SHASTRI COLONY,ASHTA SHASTRI COLONY
Modified,01658,address.city,ASHTA (MP),ASHTA
Modified,01658,email,ashta.mp@bkivv.org,shastricolony.ast@bkivv.org
Modified,02381,contact,0512- 2573846,
Modified,02381,address.line3,KALYANPUR,"NEAR NANDRANI GUEST HOUSE, KALYANPUR"
Modified,02381,address.line2,AVAS VIKAS-1,"AVAS VIKAS COLONY-1, BAGIYA CROSSING ROAD"
Modified,01256,address.line3,,TAL: SAVADATI
Modified,01256,address.line1,NEAR PILIGRIMAGE OFFICE,"H NO: 226E, NEAR PILIGRIMAGE OFFICE"
Modified,01256,address.line2,MAIN RAOD,MAIN ROAD
Modified,04155,mobile,"9780245469,6280065849, 7983649091","9780245469, 7983649091"
Modified,04584,address.line2,ASHUTOSH NAGAR,"ASHUTOSH NAGAR, NEAR HANUMAN TEMPLE"
Modified,04584,mobile,"9668859002,7978201629","9668859002, 7978201629"
Modified,03294,name,BIHTA,BIHTA (PATNA)
Modified,03294,address.line3,NEAR DOMINIYA BRIDGE,"BIHTA MAIN ROAD, WARD NO-8"
Modified,03294,address.city,BIHTA,BIHTA (PATNA)
Modified,03294,address.line1,BEHIND. DR. RAJENDRA PRASAD CLINIC,"ASHA KUNJ, BEHIND. DR. RAJENDRA PRASAD CLINIC"
Modified,03294,address.line2,"BIHTA MAIN ROAD, WARD NO-8",NEAR DOMINIYA BRIDGE
Modified,03294,email,,bihta@bkivv.org
Modified,04569,name,WALUR,WALUR (PARBHANI)
Modified,04569,address.city,WALUR,WALUR (PARBHANI)
Modified,04569,address.line1,KRISHNA NIWAS,"H.NO: 847, KRISHNA NIWAS"
Modified,04569,address.line2,"HATKAR GALLI, DEVUVADA","HATKAR GALI, DEVUVADA"
Modified,01297,district,ANANTAPUR,ANANTAPURAMU
Modified,01297,name,GOOTY,GOOTY (ANANTAPUR)
Modified,00996,name,BETTIAH,BETTIAH OM SHANTI NAGAR
Modified,02941,address.line1,SHIV DARSHAN BHAWAN,"PLOT NO: 67, SHIV DARSHAN BHAWAN"
Modified,01571,name,FALNA,FALNA (PALI)
Modified,01571,address.city,FALNA,FALNA (PALI)
Modified,04437,address.line3,WARD NO:5,WARD NO:13
Modified,04437,mobile,"9691429241, 8225989518",9691429241
Modified,03339,name,KEKRI,KEKRI (AJMER)
Modified,04464,section,02822,02553
Modified,03563,name,SAHA,SAHA (AMBALA)
Modified,03563,address.line3,,SUHARO KI GALI
Modified,03563,address.city,SAHA,SAHA (AMBALA)
Modified,03563,address.line1,NEAR HANUMAN MANDIR,H.NO: 863
Modified,03563,address.line2,,NEAR HANUMAN MANDIR
Modified,05521,name,SANCH,SANCH (KAITHAL)
Modified,05521,address.city,SANCH,SANCH (KAITHAL)
Modified,05521,address.line2,NEAR HANUMAN MANDIR,HANUMAN MANDIR ROAD
Modified,01167,contact,08942-287477,
Modified,02577,name,DHAND,DHAND (KAITHAL)
Modified,02577,address.city,DHAND,DHAND (KAITHAL)
Modified,00672,mobile,"9545747702, 8237574613, 8149681531",8149681531
Modified,02782,contact,0744-2412777,
Modified,02782,address.line3,MAIN ROAD,
Modified,02782,address.line2,VIGYAN NAGAR,"VIGYAN NAGAR, MAIN ROAD"
Modified,00881,address.line3,,WARD NO: 26
Modified,01128,address.line3,STREET.NO:11,STREET NO:11
Modified,01128,address.line1,"'GYANANJALI BHAWAN', PLOT.NO:1504/L","GYANANJALI BHAWAN, PLOT NO:1504/L"
Modified,01128,address.line2,OPP: POLICE STATION,POLICE STATION ROAD
Modified,01128,mobile,"7587711575, 9685117198",9685117148
Modified,01646,contact,05522- 234575,
Modified,03096,section,00868,03096
Modified,02916,mobile,"9455882460, 9451481190",9455882460
Modified,03596,address.line3,"NEAR WESTEND MALL, D.P.ROAD, AUNDH",AUNDH
Modified,03596,address.line2,PLOT NO: 11,"PLOT NO: 11, NEAR WESTEND MALL, D.P.ROAD"
Modified,02972,name,SODAM,SODAM (CHITTOOR)
Modified,01339,contact,07224-235811,
Modified,04384,name,DEORI (SAGAR),DEORI (MP)
Modified,04384,address.line3,MAHAKALI WARD,
Modified,04384,address.line2,FRONT OF MARAI MATA MANDIR,"NAGAR PALIKA ROAD, MAHAKALI WARD"
Modified,04384,mobile,8839677582,"8839677582, 8103258606"
Modified,04384,section,00002,04384
Modified,04735,name,MOHNA,MOHNA (GWALIOR)
Modified,04735,address.city,MOHNA,MOHNA (GWALIOR)
Modified,01062,coords,"['23.6572550000', '86.4739900000']","['23.6592850000', '86.4794470000']"
Modified,01062,address.line3,"PO: SINDRI INSTITUTE, GOSHALA ROAD",PO: SINDRI
Modified,01062,address.line1,OLD CANTEEN ROOM,QUARTER A-7 AND A-8
Modified,01062,address.pincode,828123,828122
Modified,01062,address.line2,BIRSA INSTITUTE OF TECHNOLOGY (BIT),"FACULTIES COLONY, BIRSA INSTITUTE OF TECHNOLOGY (BIT)"
Modified,01062,mobile,9334016268,8340753257
Modified,03336,name,TANGI,TANGI (KHORDHA)
Modified,03336,address.city,TANGI,TANGI (KHORDHA)
Modified,02789,address.line1,DIVYA SANSKRITI BHAWAN,"DIVYA SANSKRITI BHAWAN, WARD NO-11"
Modified,02789,address.line2,NEAR SIDDARTHA PETROL PUMP,"NEAR SIDDARTHA PETROL PUMP, KILLAPARA MOHALLA"
Modified,03340,address.line1,SHIV SMRUTI BHAVAN,"H.NO:11, SHIV SMRUTI BHAVAN"
Modified,02245,section,00814,02245
Modified,01763,coords,"['27.3896987000', '79.5824286000']","['27.3840030000', '79.5892250000']"
Modified,01763,address.line3,,BEHIND VISHAL DEGREE COLLEGE
Modified,01763,address.line1,H.NO: 2/23,H.NO: 6/38 A
Modified,01763,address.line2,NEHRU ROAD,"ANDIYANA, ALLAH NAGAR"
Modified,01763,mobile,"9935192999, 9839592478","8840687227, 9935192999"
Modified,03816,address.line3,"BORIYAKHURD, MOTI NAGAR","OLD DHAMTARI ROAD, MOTI NAGAR"
Modified,03816,address.line2,YASH VIHAR COLONY,"YASH VIHAR COLONY, BORIYAKHURD"
Modified,04278,name,SAYLA,SAYLA (JALORE)
Modified,04278,address.city,SAYLA,SAYLA (JALORE)
Modified,03310,district,VISAKHAPATNAM,Anakapalli
Modified,03310,name,ANAKAPALLE NARASINGRAO PETA,ANAKAPALLI NARASINGRAO PETA
Modified,03310,address.city,ANAKAPALLE,ANAKAPALLI
Modified,03310,district_id,5212,7782
Modified,03600,name,PALAM,PALAM (PARBHANI)
Modified,03360,name,BANKA,BANKA (BHR)
Modified,03360,address.city,BANKA,BANKA (BHR)
Modified,00245,contact,02744-220965,
Modified,00245,name,DEESA,DEESA (BANASKANTHA)
Modified,00245,address.line3,"OPP: SPORTS CLUB,  GAYATRI ROAD","OPP: SPORTS CLUB, GAYATRI ROAD"
Modified,03940,address.line1,PEACE HOUSE,"H.NO: 400, PEACE HOUSE"
Modified,02891,address.line3,,WARD NO: 7
Modified,02891,address.line1,BHILPURA COLONY,H.NO: 24
Modified,02891,address.line2,SHIVPUR ROAD,"GALI NO:2, BHILPURA COLONY, SHIVPUR ROAD"
Modified,02072,name,KURUD,KURUD (DHAMTARI)
Modified,02072,address.city,KURUD,KURUD (DHAMTARI)
Modified,00656,contact,02472-222464,
Modified,00656,district,Osmanabad,DHARASHIV
Modified,00656,name,OSMANABAD ANAND NAGAR,DHARASHIV ANAND NAGAR
Modified,00656,address.city,OSMANABAD,DHARASHIV
Modified,00700,contact,0832-2511907,
Modified,00700,address.line3,NEAR OLD BUS STAND,OLD FISH MARKET ROAD
Modified,00700,address.line1,"B-1, COMMERCE CENTRE","FLAT NO: B-1, COMMERCE CENTRE, 2ND FLOOR"
Modified,00700,address.line2,2ND FLOOR,NEAR OLD BUS STAND
Modified,05003,address.line1,PRABHU MILAN BHAWAN,"H.NO: 112, PRABHU MILAN BHAWAN"
Modified,01436,email,deepjyoticolony.pun@bkivv.org,cumminscollegeroad.pun@bkivv.org
Modified,03743,name,BILSI,BILSI (BUDAUN)
Modified,03743,address.city,BILSI,BILSI (BUDAUN)
Modified,00680,contact,02162- 229795,
Modified,00680,address.line3,KOLHAPUR-PUNE HIGH WAY,KOLHAPUR- PUNE HIGH WAY
Modified,00680,address.line1,"SHANTI KUNJ BHAWAN, PLOT NO: 33,34,35/1","PLOT NO: 33,34,35/1, SHANTI KUNJ BHAWAN"
Modified,00680,mobile,"9423827563, 7219247119","9423827563, 7558784280"
Modified,03863,coords,"['18.5101576000', '76.8734251000']","['18.5096990000', '76.8711320000']"
Modified,03863,address.line1,"HOUSE NO: 1959, FULARI NIWAS","HOUSE NO: 6033, DIVYA DARSHAN BHAWAN"
