ChangeType,branch_code,FieldName,OldValue,NewValue
Added,03529,,,"{""name"": ""CHHATA"", ""branch_code"": ""03529"", ""address"": {""line1"": ""KHASRA NO: 1358, SHIV DARSHAN BHAWAN"", ""line2"": ""AGRA DELHI HIGHWAY ROAD"", ""line3"": ""BARSANA CHOURAHA"", ""city"": ""CHHATA"", ""pincode"": ""2"
Added,05712,,,"{""name"": ""NEW MUMBAI TALVALI"", ""branch_code"": ""05712"", ""address"": {""line1"": ""FLAT NO: 101, H NO: 34, GANESH RESIDENCY"", ""line2"": ""NEAR KHETESWAR TEMPLE, GANESH NAGAR"", ""line3"": ""TALVALI, GHANSOLI"", ""c"
Added,05721,,,"{""name"": ""SAID NAGLI"", ""branch_code"": ""05721"", ""address"": {""line1"": ""KHASRA NO-75"", ""line2"": ""SABJI MANDI WALI GALLI"", ""line3"": ""MAIN MARKET, TAL: HASANPUR"", ""city"": ""SAID NAGLI"", ""pincode"": ""244242""}"
Added,05717,,,"{""name"": ""BANIATANGI"", ""branch_code"": ""05717"", ""address"": {""line1"": ""H NO: 53"", ""line2"": ""NEAR MADAN MOHAN TEMPLE"", ""line3"": ""KAMARPATNA"", ""city"": ""BANIATANGI"", ""pincode"": ""752060""}, ""email"": """", ""con"
Added,05716,,,"{""name"": ""MUKTAPUR"", ""branch_code"": ""05716"", ""address"": {""line1"": ""H NO: 37"", ""line2"": ""NEAR MANGALA TEMPLE"", ""line3"": ""DALABEHERA SAHI"", ""city"": ""MUKTAPUR"", ""pincode"": ""752057""}, ""email"": """", ""contac"
Added,05715,,,"{""name"": ""HINDOL ROAD"", ""branch_code"": ""05715"", ""address"": {""line1"": ""PLOT N0.-4739/6289"", ""line2"": ""SAMBALPUR-CUTTACK HWY"", ""line3"": ""NEAR HINDUSTAN PETROL PUMP, NUA ODAPADA"", ""city"": ""HINDOL ROAD"", "
Added,05714,,,"{""name"": ""HARIPUR HAT (JAJPUR)"", ""branch_code"": ""05714"", ""address"": {""line1"": ""H.NO.-T286M-77"", ""line2"": ""NEAR MAHADEV TEMPLE, GOURSHYAMPATANA"", ""line3"": ""NH-20, TAL: RASULPUR"", ""city"": ""HARIPUR HAT"","
Added,05713,,,"{""name"": ""KUAKHIA"", ""branch_code"": ""05713"", ""address"": {""line1"": ""H NO: 42"", ""line2"": ""NEAR HINDUSTAN PETROL PUMP, KOLATHALA"", ""line3"": ""MADHUBAN ROAD"", ""city"": ""KUAKHIA"", ""pincode"": ""755051""}, ""email"
Added,05718,,,"{""name"": ""GUDUM (KHORDHA)"", ""branch_code"": ""05718"", ""address"": {""line1"": ""H NO: 6"", ""line2"": ""NEAR POST OFFICE"", ""line3"": ""NARSINGPUR SAHI"", ""city"": ""GUDUM"", ""pincode"": ""752056""}, ""email"": """", ""contac"
Added,05719,,,"{""name"": ""SIMORE"", ""branch_code"": ""05719"", ""address"": {""line1"": ""H NO: 23"", ""line2"": ""KHORDHA KANTILO ROAD"", ""line3"": ""NEAR KHUNTIA TIFFIN CENTRE, TAL: BEGUNIA"", ""city"": ""SIMORE"", ""pincode"": ""752061""}"
Added,05723,,,"{""name"": ""TODGARH"", ""branch_code"": ""05723"", ""address"": {""line1"": ""NEAR FAUJI DHARAMSHALA"", ""line2"": ""BUS STAND ROAD"", ""line3"": """", ""city"": ""TODGARH"", ""pincode"": ""305924""}, ""email"": """", ""contact"": """", "
Added,05722,,,"{""name"": ""BHIM (RAJSAMAND)"", ""branch_code"": ""05722"", ""address"": {""line1"": ""SECOND FLOOR"", ""line2"": ""ABOVE TARA AUTOMOBILE"", ""line3"": ""BUS STAND"", ""city"": ""BHIM"", ""pincode"": ""305921""}, ""email"": """", ""co"
Added,05720,,,"{""name"": ""UDAIPUR HIRAN MAGRI"", ""branch_code"": ""05720"", ""address"": {""line1"": ""H NO: 10, GANPATI VIHAR"", ""line2"": ""BEHIND GUMAR GARDEN"", ""line3"": ""HIRAN MAGRI, SECTOR 4"", ""city"": ""UDAIPUR"", ""pincode"": "
Modified,04076,address.line1,"H NO: 229, CAT ROAD","H NO: 241, SECTOR B, CAT ROAD"
Modified,04076,address.line3,"SECTOR-B, SURYADEV NAGAR",SURYADEV NAGAR
Modified,04076,address.line2,OPP: MADAN MAST SWEET HOTEL,NEAR PATEL KIRANA STORE
Modified,04076,coords,"['22.6808750000', '75.8237740000']","['22.6791910000', '75.8233900000']"
Modified,03853,mobile,8285353320,"8285353320, 9599864020"
Modified,05297,mobile,"8439551747, 6395196796",6395196796
Modified,05297,address.line1,H NO: JF 598,"PARMATAM ANUBHUTI BHAWAN, H NO: J-347"
Modified,05297,coords,"['29.0075260000', '77.7595080000']","['29.0073900000', '77.7595490000']"
Modified,00286,address.line1,OM SHIVALAYA,"TENANMENT NO: 10099/1193, OM SHIVALAYA"
Modified,00286,contact,02746-277525,
Modified,02761,email,,gohad@bkivv.org
Modified,02761,address.line1,NEAR JAIN ELECTRICALS,H.NO : 48
Modified,02761,address.line3,"GURUDWARA GALLI, GOHAD CHOURAHA","WARD NO: 18, GOHAD CHOURAHA"
Modified,02761,address.line2,"STATION ROAD, WARD NO: 15","REHMAN WALI GALLI, STATION ROAD"
Modified,02761,coords,"['26.4623740000', '78.4212420000']","['26.4632360000', '78.4185200000']"
Modified,03651,mobile,"9680139438, 9414086947","9680139438, 9829983119"
Modified,03651,address.line1,"GUEST HOUSE, OUT SIDE MARU DARWAJA","H.NO : 01, PRABHU DARSHAN BHAWAN"
Modified,03651,address.line3,,"KAMALIGHAT ROAD, WARD NO:25, DEOGARH"
Modified,03651,address.line2,NEAR BUS STAND,"INDRAPRASTA COLONY, NEAR MAHAVEER HOSPITAL"
Modified,03651,coords,"['25.5325582000', '73.9072150000']","['25.5369780000', '73.8912080000']"
Modified,03733,mobile,9719166874,"8077954686, 9456635460"
Modified,00066,contact,011- 25257926,
Modified,00011,mobile,"7987843722, 9893897050","7987843722, 7247663626"
Modified,00933,district_id,389,7847
