ChangeType,branch_code,FieldName,OldValue,NewValue
Modified,05307,mobile,8778002135,"8778002135, 8248817396"
Modified,03658,mobile,9414006957,"9414006957, 7976140778"
Modified,03658,address.line2,"CHOUDHARI COLONY, OFF: KALU ROAD","CHOUDHARI COLONY, WARD NO-12, OFF: KALU ROAD"
Modified,01442,mobile,,"9049448782, 7767025269"
Modified,02530,name,BHILAD,SARIGAM
Modified,02530,coords,"['20.2794160000', '72.8776790000']","['20.2808200000', '72.8772190000']"
Modified,02530,address.line1,"VRUNDAVAN NAGAR, VISHVA NIRMAN UPVAN HOUSE","PLOT NO:10, VRUNDAVAN NAGAR, VISHVA NIRMAN UPVAN HOUSE"
Modified,02530,address.city,BHILAD,SARIGAM
Modified,02530,address.line3,TAL: UMARGAM,"SARIGAM, TAL: UMARGAM"
Modified,03932,coords,"['22.7610656000', '81.9016238000']","['22.7501100000', '81.9104100000']"
Modified,03932,email,,sirgitti@bkivv.org
Modified,03932,district_id,148,7812
Modified,03932,district,Bilaspur,Gaurela Pendra Marwahi
Modified,03932,address.line1,"H.NO: 136, SARASWATI NAGAR ROAD",TAHSIL CHOWK
Modified,03932,address.line2,"NEAR AASHIYANA, W.NO: 4","PENDRA ROAD, W.NO: 19"
Modified,00992,contact,06756- 253201,
Modified,04410,mobile,9385944192,"9385944192, 7598336002"
Modified,04409,mobile,"8248402711, 9443765883","8903589654, 9443765883"
Modified,05064,coords,"['18.6039230000', '79.3752600000']","['18.5996500000', '79.3774000000']"
Modified,05064,address.line1,H NO: 4-5-57/A,H NO: 2-22/4
Modified,05064,address.line2,"OFF: RAJIV RAHADARI,  SUBHASH NAGAR",NEAR RELIANCE TOWER
Modified,05064,address.line3,NEAR VENKATESHWARLU CLOTHING STORE,"RANGAMPALLI, PEDDAPALLE"
Modified,03314,name,JAORA,JAORA (RATLAM)
Modified,03791,name,RAYYA,RAYYA MODEL TOWN
Modified,03791,mobile,9779981368,9815149269
Modified,03434,contact,0129- 2280051,
Modified,03434,address.line1,"SHIV DARSHAN BHAVAN, H NO: 1065","SHIV DARSHAN BHAWAN, H NO: 1065"
Modified,03950,section,00962,01758
Modified,03950,sub_zone,DELHI KAROL BAGH,DELHI ORC
