ChangeType,branch_code,FieldName,OldValue,NewValue
Modified,01884,mobile,"9918018697, 9450772970","9918018697, 6388949633"
Modified,02621,address.line2,"MAGULKOD ROAD, VIVEKANANDA NAGAR","MAGULKOD MATHA ROAD, VIVEKANANDA NAGAR"
Modified,02621,contact,08332- 286253,
Modified,02621,mobile,8970207753,9740834841
Modified,00895,address.line2,"2ND FLOOR, MAQBARA","2ND FLOOR, MAQBARA ROAD"
Modified,00895,contact,0522- 2628938,
Modified,01386,contact,08719-243779,
Modified,01386,mobile,"9290574419, 8522815844",9290574419
Modified,01162,contact,08422-278900,
Modified,01162,mobile,9481082173,"9481082173, 8861496648"
Modified,00225,mobile,9427114622,"8758400033, 7984316460"
Modified,03146,mobile,"9480017625, 8618874607","9480017625, 9019236665"
Modified,02466,address.line3,,AGRAHARAM STREET
Modified,02466,address.line2,"'S' TURNING , AGRAHARAM STREET","NEAR SAI BABA TEMPLE, 'S' TURNING ,"
Modified,02466,address.line1,"H NO: 15-234, 'DIVYA PRAKASHA BHAWAN'","H NO: 15-5-55/1,, DIVYA PRAKASHA BHAWAN"
Modified,05473,mobile,"9440367217, 9110360228","9110360228, 9440367217"
Modified,02007,section,00362,00367
Modified,05045,address.line3,BEHIND AGRASEN GIRLS COLLAGE,NEAR POLICE STATION
Modified,05045,address.line2,BHARATPUR-BAYANA HWY,JHAL KI MORI WATERBOX
Modified,05045,address.line1,"WARD NO: 1, KRISHNA COLONY","HOUSE OF LAXMI DEVI, WARD NO: 7"
Modified,05045,mobile,9829522209,9783872150
Modified,05045,coords,"['27.0985850000', '77.4106200000']","['27.1035750000', '77.4135800000']"
Modified,01216,address.line1,"PLOT NO: 4, BEHIND STATE BANK OF MYSORE","PLOT NO: 4, BEHIND STATE BANK OF INDIA"
Modified,04533,address.line3,INDIRA MARG,"INDIRA MARG, SUPER BAZAR ROAD"
Modified,04533,address.line2,OPP; GOVT. HIGH SCHOOL GROUND,OPP: GOVT. HIGH SCHOOL GROUND
Modified,04533,mobile,6309044001,"6309044001, 9490233902"
Modified,05192,email,,kowthalam@bkivv.org
Modified,04489,contact,08944- 255737,
Modified,04489,mobile,9490377514,9381238329
Modified,00528,district,ANANTAPUR,Sri Sathya Sai
Modified,00528,district_id,7,7791
Modified,04740,email,,vadadla@bkivv.org
Modified,01792,contact,0265- 2485506,
Modified,01792,mobile,9427345622,"9427345622, 9408421361"
Modified,03082,address.line3,"BEHIND GREENLAND CHOKDI, PEDAK ROAD",PEDAK ROAD
Modified,03082,address.line2,AVADHPURI SOCIETY,"AVADHPURI SOCIETY, BEHIND GREENLAND CHOKDI"
Modified,03082,mobile,8160716059,"8160716059, 9913744809"
Modified,03693,address.line3,6TH WARD,
Modified,03693,address.line2,MULLA VEEDI,"MULLA VEEDI, 6TH WARD"
Modified,03693,address.line1,6/D NO: 10/142,D. NO: 10/142
Modified,03693,contact,08495-252215,
Modified,03693,district,ANANTAPUR,ANANTAPURAMU
Modified,03693,mobile,9740474450,"9740474450, 9885673729"
Modified,03440,email,,stationroad.vij@bkivv.org
Modified,02825,address.line1,BEHIND GOVERNMENT HOSPITAL,"BEHIND GOVERNMENT HOSPITAL, H NO: 5551 C/1"
Modified,02825,contact,08392- 248345,
Modified,01548,address.line2,MAIN ROAD,"OPP: AGRICULTURAL UNIVERSITY GATE, MAIN ROAD"
Modified,01548,address.line1,OPP: AGRICULTURAL UNIVERSITY GATE,KHASRA NO: 238
Modified,01548,contact,01923-250984,
Modified,01548,mobile,9858275290,7051425238
Modified,02872,mobile,"7302003204, 9611438145",9611438145
Modified,02872,email,,gauravnagar.blr@bkivv.org
Modified,04452,address.line3,WARD NO: 18,"WARD NO: 5, BHUSAWAR"
